"시점","행정구역(시군구)별","성별",15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"2014","중구","여자",494.5,543,583.5,582,669,751,822.5,864,863.5,837.5,907.5,931.5,891,961.5,1018,1044.5,1126.5,1162,1138.5,1132.5,1009,921.5,963,916,963.5,988,992,1027,1046,1025,1013.5,977,862,879.5,982
"2014","용산구","여자",1016,1043.5,1084.5,1145.5,1289.5,1330,1405.5,1516.5,1520,1523.5,1575.5,1609,1751,1832.5,1867.5,2015,2175.5,2296,2281,2225,1952,1872.5,1917.5,1902,1974,2000.5,2123,2189.5,2155,2124,2051,1918,1708.5,1676,1802
"2014","성동구","여자",1372,1444.5,1534,1585,1758,1860,1940,2016.5,2040.5,2080,2175,2240.5,2192,2335,2430.5,2513,2733,2887.5,2855,2830,2563,2349.5,2351,2358.5,2479.5,2567,2601.5,2630.5,2615,2527,2448,2342,2176.5,2190,2342
"2014","광진구","여자",1918,2020,2083,2217,2382,2423,2582,2819.5,2888.5,2961,3206,3267,3333,3450.5,3522,3604.5,3802,3748,3550.5,3367.5,2986,2773.5,2835.5,2770,2850,3010.5,3119.5,3231,3289,3294.5,3288.5,3182,2906.5,2874,2929.5
"2014","동대문구","여자",1660.5,1742,1784.5,1908.5,2168.5,2375,2457,2601.5,2614,2523.5,2592,2626.5,2614.5,2662.5,2707,2856,3064,3210.5,3180,3080,2736.5,2634.5,2719,2681.5,2731,2847,2902,2931.5,2980,2898,2876.5,2776,2568.5,2537,2682.5
"2014","중랑구","여자",1940,2111.5,2304.5,2443,2668,2719,2851.5,3015,2883.5,2856,3003.5,3041.5,2999.5,3081.5,3207,3247,3543.5,3697,3615,3528,3115,2860.5,2879.5,2826,2998,3177.5,3297.5,3380,3481,3489,3576,3616.5,3418,3381,3507.5
"2014","성북구","여자",2324.5,2403.5,2475,2532,2883,3084.5,3269.5,3464.5,3360.5,3324.5,3370,3381,3429.5,3424,3428.5,3570,3839,3989,4011,4017,3641.5,3520.5,3683,3725.5,3994.5,4267,4270,4274.5,4261,4173.5,4001,3816.5,3493.5,3411,3605.5
"2014","강북구","여자",1628.5,1740.5,1787,1872.5,2013.5,2046.5,2161,2283,2183.5,2068,2103.5,2090.5,2059,2174,2273,2370.5,2686,2757,2682,2669.5,2481.5,2365.5,2441.5,2433.5,2577.5,2759.5,2786.5,2883,2908.5,2875,2880.5,2821.5,2577,2569.5,2612.5
"2014","도봉구","여자",1942,2107.5,2148.5,2206,2304,2332,2464,2529,2400,2343.5,2358,2284,2240.5,2311.5,2332,2441,2667,2805,2796.5,2746.5,2464.5,2347,2420,2494,2644.5,2856,3008,3160,3252.5,3206,3265.5,3183,2926,2957,3094.5
"2014","노원구","여자",3932.5,4019,4103.5,4193.5,4232,4191,4189,4150.5,3904,3656.5,3578.5,3435,3479,3654,3702.5,4010.5,4437,4609,4634,4606,4261,4128.5,4316,4424,4815.5,5182,5523.5,5925.5,6145,6039,5917.5,5676.5,5163,4971.5,5021
